"genus","species","imageURL","uploaded","license"
"Agave","utahensis","https://static.inaturalist.org/photos/2693639/small.jpg?1448327633","Colin Barrows","Creative Commons Attribution-NonCommercial-ShareAlike License"
"Allium","acuminatum","https://static.inaturalist.org/photos/3945590/small.jpg?1465393788","jcroxford","Creative Commons Attribution-NonCommercial License"
"Alnus","incana","https://static.inaturalist.org/photos/558762/small.jpg?1383091377","Marv Elliott","Creative Commons Attribution-NonCommercial License"
"Alnus","incana","https://static.inaturalist.org/photos/558762/small.jpg?1383091377","Marv Elliott","Creative Commons Attribution-NonCommercial License"
"Alnus","maritima","https://static.inaturalist.org/photos/61588292/small.jpg?1581884541","Judy Gallagher","Creative Commons Attribution-NonCommercial License"
"Alnus","rhombifolia","https://static.inaturalist.org/photos/246250/small.jpg?1360023133","rebeca917","Creative Commons Attribution-NonCommercial License"
"Alnus","rubra","https://static.inaturalist.org/photos/306100/small.jpg?1366903096","elarocca","Creative Commons Attribution-NonCommercial License"
"Alnus","serrulata","https://static.inaturalist.org/photos/3211214/small.JPG?1458777612","Laura Clark","Creative Commons Attribution-NonCommercial License"
"Allium","textile","https://static.inaturalist.org/photos/8092055/small.jpg?1496031532","Janelle Veenendaal","Creative Commons Attribution-NonCommercial License"
"Allium","tolmiei","https://static.inaturalist.org/photos/80380530/small.jpg?1592871948","Annette Patton","Creative Commons Attribution-NonCommercial License"
"Alnus","viridis","https://static.inaturalist.org/photos/2414847/small.JPG?1442883751","marek","Creative Commons Attribution-NonCommercial License"
"Ammophila","breviligulata","https://static.inaturalist.org/photos/2528354/small.JPG?1444915152","Chia aka Cory Chiappone","Creative Commons Attribution-NonCommercial License"
"Amorpha","canescens","https://static.inaturalist.org/photos/1052607/small.jpg?1408140096","Erin Faulkner","Creative Commons Attribution-NonCommercial License"
"Ambrosia","dumosa","https://static.inaturalist.org/photos/2886058/small.jpg?1452897115","Colin Barrows","Creative Commons Attribution-NonCommercial-ShareAlike License"
"Amorpha","fruticosa","https://static.inaturalist.org/photos/866798/small.jpg?1400641673","Matthew Herron","Creative Commons Attribution-NonCommercial License"
"Amorpha","glabra","https://static.inaturalist.org/photos/77307677/small.jpg?1591483171","jakelly","Creative Commons Attribution-NonCommercial License"
"Andropogon","gerardii","https://static.inaturalist.org/photos/599241/small.JPG?1386174011","Ben VanderWeide","Creative Commons Attribution-NonCommercial License"
"Andropogon","glomeratus","https://static.inaturalist.org/photos/1288820/small.JPG?1413835459","Sam Kieschnick","Creative Commons Attribution-NonCommercial License"
"Andropogon","hallii","https://static.inaturalist.org/photos/62079957/small.jpeg?1582520529","Colin Croft","Creative Commons Attribution-NonCommercial License"
"Andira","inermis","https://static.inaturalist.org/photos/67496072/small.jpeg?1587242320","Leonardo Álvarez","Creative Commons Attribution-NonCommercial License"
"Anaphalis","margaritacea","https://static.inaturalist.org/photos/424160/small.JPG?1374465382","wheker18","Creative Commons Attribution-NonCommercial License"
"Anemone","multifida","https://static.inaturalist.org/photos/5690570/small.jpeg?1480810688","Pat Deacon","Creative Commons Attribution-NonCommercial License"
"Andropogon","virginicus","https://static.inaturalist.org/photos/4718245/small.jpg?1472576999","Mary Keim","Creative Commons Attribution-NonCommercial-ShareAlike License"
"Apios","americana","https://static.inaturalist.org/photos/1037193/small.jpg?1407467765","James Mickley","Creative Commons Attribution-NonCommercial License"
"Aquilegia","formosa","https://static.inaturalist.org/photos/100929/small.jpg?1444480039","J. Maughn","Creative Commons Attribution-NonCommercial License"
"Argentina","anserina","https://static.inaturalist.org/photos/437564/small.JPG?1375159041","Erin Faulkner","Creative Commons Attribution-NonCommercial License"
"Artemisia","cana","https://static.inaturalist.org/photos/7551881/small.jpg?1493604648","keitamb2","Creative Commons Attribution-NonCommercial License"
"Arnica","cordifolia","https://static.inaturalist.org/photos/6385640/small.jpg?1488062635","Todd Ramsden","Creative Commons Attribution-NonCommercial License"
"Artemisia","frigida","https://static.inaturalist.org/photos/2113643/small.jpg?1436571234","mschoeneck","Creative Commons Attribution-NonCommercial License"
"Arundinaria","gigantea","https://static.inaturalist.org/photos/1726885/small.jpg?1429141681","Jonathan Carpenter","Creative Commons Attribution-NonCommercial License"
"Arnica","latifolia","https://static.inaturalist.org/photos/11962080/small.jpeg?1511313857","judith holm","Creative Commons Attribution-NonCommercial-NoDerivs License"
"Artemisia","ludoviciana","https://static.inaturalist.org/photos/1497730/small.jpg?1421776843","podiceps","Creative Commons Attribution-NonCommercial License"
"Arctostaphylos","manzanita","https://static.inaturalist.org/photos/6142028/small.jpg?1485654359","Katherine L.C. Cuneo","Creative Commons CC0 Universal Public Domain Dedication"
"Armeria","maritima","https://static.inaturalist.org/photos/361043/small.JPG?1370633415","sea-kangaroo","Creative Commons Attribution-NonCommercial-NoDerivs License"
"Arctostaphylos","nevadensis","https://static.inaturalist.org/photos/1739301/small.JPG?1429464927","Rob Parker","Creative Commons Attribution-NonCommercial License"
"Artemisia","nova","https://static.inaturalist.org/photos/84615093/small.jpeg?1594856332","Matt Berger","Creative Commons Attribution License"
"Arctostaphylos","patula","https://static.inaturalist.org/photos/816948/small.jpg?1398735261","faerthen","Creative Commons Attribution-NonCommercial License"
"Aristida","purpurea","https://static.inaturalist.org/photos/5540857/small.jpeg?1479350297","Sam Kieschnick","Creative Commons Attribution-NonCommercial License"
"Aralia","spinosa","https://static.inaturalist.org/photos/1002760/small.jpg?1406039594","Christopher Tracey","Creative Commons Attribution-NonCommercial-ShareAlike License"
"Artemisia","tilesii","https://static.inaturalist.org/photos/20434019/small.jpg?1530144240","C Graydon","Creative Commons Attribution-NonCommercial License"
"Arisaema","triphyllum","https://static.inaturalist.org/photos/108247/small.jpg","hitefamily","Creative Commons Attribution License"
"Artemisia","tridentata","https://static.inaturalist.org/photos/577314/small.jpg?1384458143","Ben VanderWeide","Creative Commons Attribution-NonCommercial License"
"Artemisia","tridentata","https://static.inaturalist.org/photos/577314/small.jpg?1384458143","Ben VanderWeide","Creative Commons Attribution-NonCommercial License"
"Artemisia","tridentata","https://static.inaturalist.org/photos/577314/small.jpg?1384458143","Ben VanderWeide","Creative Commons Attribution-NonCommercial License"
"Artemisia","tridentata","https://static.inaturalist.org/photos/577314/small.jpg?1384458143","Ben VanderWeide","Creative Commons Attribution-NonCommercial License"
"Arctostaphylos","uva-ursi","https://static.inaturalist.org/photos/595535/small.JPG?1386002532","Ben VanderWeide","Creative Commons Attribution-NonCommercial License"
"Aster","alpinus","https://static.inaturalist.org/photos/8583663/small.jpeg?1498154273","Luca Fornasari","Creative Commons Attribution-NonCommercial License"
"Astragalus","canadensis","https://static.inaturalist.org/photos/4327924/small.jpeg?1469228406","driftlessroots","Creative Commons Attribution-NonCommercial License"
"Asclepias","incarnata","https://static.inaturalist.org/photos/405601/small.jpg?1444593459","Suzanne Cadwell","Creative Commons Attribution-NonCommercial License"
"Astragalus","mollissimus","https://static.inaturalist.org/photos/3507049/small.jpg?1461797150","debaraj","Creative Commons Attribution-NonCommercial License"
"Asimina","triloba","https://static.inaturalist.org/photos/327974/small.jpg?1368380897","creationhiker","Creative Commons Attribution-NonCommercial License"
"Asclepias","tuberosa","https://static.inaturalist.org/photos/356359/small.jpg?1370314210","vfazio","Creative Commons Attribution-NonCommercial License"
"Atriplex","canescens","https://static.inaturalist.org/photos/1361647/small.jpg?1416532600","kathleenaroman","Creative Commons Attribution-NonCommercial License"
"Atriplex","confertifolia","https://static.inaturalist.org/photos/5860796/small.jpg?1482384043","Jonathan Carpenter","Creative Commons Attribution-NonCommercial License"
"Atriplex","gardneri","https://static.inaturalist.org/photos/78400463/small.jpg?1592007702","mice","Creative Commons Attribution-NonCommercial License"
"Atriplex","lentiformis","https://static.inaturalist.org/photos/1521287/small.jpg?1422732902","bsigel","Creative Commons Attribution-NonCommercial License"
"Atriplex","polycarpa","https://static.inaturalist.org/photos/7751230/small.jpg?1494562697","Steve Jones","Creative Commons Attribution-NonCommercial License"
"Avicennia","germinans","https://static.inaturalist.org/photos/1864259/small.jpg?1431920156","okaloosascience","Creative Commons Attribution License"
"Balsamorhiza","hookeri","https://static.inaturalist.org/photos/7491747/small.jpg?1493347707","Micah Lauer","Creative Commons Attribution-NonCommercial License"
"Balsamorhiza","macrophylla","https://static.inaturalist.org/photos/7939685/small.jpg?1495395938","alsal","Creative Commons Attribution-NonCommercial License"
"Baccharis","pilularis","https://static.inaturalist.org/photos/62219/small.JPG","greenrosettas","Creative Commons Attribution-NonCommercial License"
"Baccharis","sarothroides","https://static.inaturalist.org/photos/1386270/small.JPG?1417315770","Sam Kieschnick","Creative Commons Attribution-NonCommercial License"
"Balsamorhiza","sagittata","https://static.inaturalist.org/photos/447929/small.jpg?1444632104","dnydick","Creative Commons Attribution-NonCommercial License"
"Baccharis","salicifolia","https://static.inaturalist.org/photos/199733/small.jpg?1352230163","hardrockmonkey","Creative Commons Attribution-NonCommercial License"
"Betula","nigra","https://static.inaturalist.org/photos/1330880/small.JPG?1415420725","Jennifer Reed","Creative Commons Attribution-NonCommercial License"
"Betula","papyrifera","https://static.inaturalist.org/photos/97535/small.jpg","charlie","Creative Commons Attribution License"
"Betula","populifolia","https://static.inaturalist.org/photos/560499/small.jpg?1383267613","Marv Elliott","Creative Commons Attribution-NonCommercial License"
"Bidens","aristosa","https://static.inaturalist.org/photos/4798609/small.jpg?1473204331","Jim","Creative Commons Attribution-NonCommercial License"
"Bidens","cernua","https://static.inaturalist.org/photos/1162690/small.jpg?1412624773","AmeriCorps WVPD","Creative Commons Attribution-NonCommercial License"
"Not found","Not found","Not found","Not found","Not found"
"Bidens","connata","https://static.inaturalist.org/photos/4982104/small.jpg?1474653360","Martin J. Calabrese","Creative Commons Attribution-NonCommercial License"
"Bidens","frondosa","https://static.inaturalist.org/photos/537622/small.jpg?1381619630","ctracey","Creative Commons Attribution-NonCommercial-ShareAlike License"
"Bidens","laevis","https://static.inaturalist.org/photos/5233686/small.jpeg?1476590897","Andy Newman","Creative Commons Attribution-NonCommercial License"
"Blepharoneuron","tricholepis","https://static.inaturalist.org/photos/52412336/small.jpeg?1569423623","one-strange-ranger","Creative Commons Attribution-NonCommercial License"
"Boltonia","asteroides","https://static.inaturalist.org/photos/45379806/small.jpeg?1563492403","William Wimley","Creative Commons Attribution-NonCommercial License"
"Bothriochloa","barbinodis","https://static.inaturalist.org/photos/7816487/small.jpeg?1494863097","Ruben A. Martínez Flores","Creative Commons Attribution-NonCommercial License"
